,currency,name,gasoline,midGrade,premium,diesel
0,usd,Alaska,4.603,4.795,4.987,4.465
1,usd,Alabama,3.419,3.811,4.19,4.143
2,usd,Arkansas,3.414,3.803,4.155,4.091
3,usd,Arizona,4.332,4.622,4.911,4.695
4,usd,California,5.294,5.503,5.655,5.883
5,usd,Colorado,3.97,4.35,4.646,4.302
6,usd,Connecticut,3.805,4.286,4.671,4.423
7,usd,District of Columbia,3.972,4.54,4.885,4.606
8,usd,Delaware,3.622,4.13,4.389,4.259
9,usd,Florida,3.701,4.096,4.418,4.437
10,usd,Georgia,3.603,4.006,4.389,4.297
11,usd,Hawaii,4.784,5,5.234,5.707
12,usd,Iowa,3.597,3.864,4.341,4.246
13,usd,Idaho,4.159,4.38,4.622,4.737
14,usd,Illinois,4.071,4.579,5.003,4.364
15,usd,Indiana,3.689,4.186,4.633,4.511
16,usd,Kansas,3.568,3.872,4.175,4.091
17,usd,Kentucky,3.499,3.958,4.365,4.197
18,usd,Louisiana,3.388,3.747,4.109,4.008
19,usd,Massachusetts,3.759,4.271,4.606,4.395
20,usd,Maryland,3.693,4.227,4.475,4.36
21,usd,Maine,3.837,4.237,4.638,4.386
22,usd,Michigan,3.739,4.214,4.692,4.427
23,usd,Minnesota,3.644,3.978,4.367,4.327
24,usd,Missouri,3.495,3.809,4.134,4.015
25,usd,Mississippi,3.305,3.68,4.034,3.972
26,usd,Montana,4,4.301,4.595,4.545
27,usd,North Carolina,3.542,3.927,4.298,4.268
28,usd,North Dakota,3.728,4.035,4.329,4.228
29,usd,Nebraska,3.593,3.789,4.231,4.159
30,usd,New Hampshire,3.717,4.128,4.538,4.285
31,usd,New Jersey,3.669,4.209,4.478,4.334
32,usd,New Mexico,3.785,4.149,4.436,4.343
33,usd,Nevada,4.514,4.764,5.006,4.851
34,usd,New York,3.906,4.361,4.714,4.595
35,usd,Ohio,3.61,4.039,4.488,4.446
36,usd,Oklahoma,3.518,3.834,4.102,4.06
37,usd,Oregon,4.771,4.956,5.176,5.032
38,usd,Pennsylvania,3.881,4.272,4.575,4.691
39,usd,Rhode Island,3.746,4.351,4.684,4.361
40,usd,South Carolina,3.483,3.868,4.228,4.253
41,usd,South Dakota,3.752,3.913,4.384,4.233
42,usd,Tennessee,3.447,3.837,4.193,4.183
43,usd,Texas,3.417,3.808,4.141,3.993
44,usd,Utah,4.316,4.54,4.742,4.744
45,usd,Virginia,3.615,4.022,4.36,4.288
46,usd,Vermont,3.808,4.218,4.619,4.346
47,usd,Washington,5.109,5.333,5.531,5.507
48,usd,Wisconsin,3.597,4.048,4.483,4.239
49,usd,West Virginia,3.654,4,4.332,4.29
50,usd,Wyoming,3.933,4.203,4.461,4.543
